Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
34376766,"Blood, Sweat, and Pixels",Jason Schreier,"Schreier, Jason",,"=""0062651242""","=""9780062651242""",4,4.21,Harper Paperbacks,Kindle Edition,353,2017,2017,2022/10/19,2023/12/19,,,read,,,,1,0
18505802,"Console Wars: Sega, Nintendo, and the Battle that Defined a Generation",Blake J. Harris,"Harris, Blake J.",,"=""0062276697""","=""9780062276698""",4,3.97,It Books,Hardcover,576,2014,2014,2022/10/19,2023/12/19,,,read,,,,1,0
57293647,Happy People Are Annoying,Josh  Peck,"Peck, Josh",,"=""0063073633""","=""9780063073630""",3,4.06,HarperOne,ebook,272,2022,2022,2022/10/19,2023/12/19,,,read,,,,1,0
222146,Masters of Doom: How Two Guys Created an Empire and Transformed Pop Culture,David Kushner,"Kushner, David",,"=""0812972155""","=""9780812972153""",4,4.29,Random House Trade Paperbacks,Paperback,339,2004,2003,2022/10/19,2023/12/19,,,read,,,,1,0
60745738,Penguin & House Vol. 2,Akiho Ieda,"Ieda, Akiho",,"=""1684912415""","=""9781684912414""",5,4.13,Kodansha Comics,Kindle Edition,178,2022,,2023/12/19,2023/07/22,,,read,,,,1,0
60588160,"Penguin & House, Vol. 1",Akiho Ieda,"Ieda, Akiho",,"=""1646513460""","=""9781646513468""",5,3.87,Kodansha Comics,Paperback,176,2022,,2023/12/19,2023/07/22,,,read,,,,1,0
31826480,"Wotakoi: Love is Hard for Otaku, Vol. 1",Fujita,"Fujita, Fujita",,"=""1632367041""","=""9781632367044""",5,4.29,Kodansha Comics,Paperback,274,2018,2018,2023/12/19,2023/07/22,,,read,,,,1,0
39080301,"Wotakoi: Love is Hard for Otaku, Vol. 2",Fujita,"Fujita, Fujita",,"=""163236705X""","=""9781632367051""",5,4.48,Kodansha Comics,Paperback,256,2018,2018,2023/12/19,2023/07/22,,,read,,,,1,0
57032865,"The Masterful Cat Is Depressed Again Today, Vol. 1",Hitsuji Yamada,"Yamada, Hitsuji",,"=""1648276059""","=""9781648276057""",5,4.25,Seven Seas,Paperback,136,2021,2019,2023/12/19,2023/07/22,,,read,,,,1,0
55552930,"Wonder Cat Kyuu-chan, Vol. 1",Sasami Nitori,"Nitori, Sasami",,"=""1645058573""","=""9781645058571""",5,4.44,Seven Seas,Paperback,128,2021,2018,2023/12/19,2023/07/22,,,read,,,,1,0
55552924,"Wonder Cat Kyuu-chan, Vol. 2",Sasami Nitori,"Nitori, Sasami",,"=""1645059456""","=""9781645059455""",5,4.55,Seven Seas,Paperback,128,2021,2018,2023/12/19,2023/07/22,,,read,,,,1,0
61399285,"I'm Quitting Heroing, Vol. 1 (I'm Quitting Heroing, 1)",Quantum,"Quantum, Quantum","Nori Kazato, Hana Amano","=""1975361814""","=""9781975361815""",4,3.44,Yen Press,Paperback,180,2023,,2023/12/19,2023/07/22,,,read,,,,1,0
63099365,"I'm Quitting Heroing Vol. 2 (I'm Quitting Heroing, 2)",Quantum,"Quantum, Quantum","Nori Kazato, Hana Amano","=""1975364570""","=""9781975364571""",4,3.85,Yen Press,Paperback,178,2023,,2023/12/19,2023/07/22,,,read,,,,1,0
61277715,"Penguin & House, Vol. 3",Akiho Ieda,"Ieda, Akiho",,"=""1646513487""","=""9781646513482""",0,4.21,Kodansha Comics,Paperback,176,2022,,2023/12/19,2023/07/22,,,read,,,,1,0
36844972,I Hear the Sunspot (I Hear the Sunspot #1),Yuki Fumino,"Fumino, Yuki",文乃ゆき,"=""1944937528""","=""9781944937522""",4,4.24,One Peace Books,Kindle Edition,191,2020,2014,2023/12/19,2023/07/22,,,read,,,,1,0
63112750,Spare,Prince Harry,"Harry, Prince",,"=""""","=""""",3,3.85,Random House Audio,Audible Audio,16,2023,2023,2023/12/19,2023/07/22,,,read,,,,1,0
61917728,I'm Glad My Mom Died,Jennette McCurdy,"McCurdy, Jennette",,"=""""","=""""",5,4.45,Simon & Schuster Audio,Audible Audio,7,2022,2022,2022/12/19,2023/07/22,,,read,,,,1,0
60384799,Shuna's Journey,Hayao Miyazaki,"Miyazaki, Hayao",Alex Dudok de Wit,"=""1250846528""","=""9781250846525""",4,4.34,First Second,Hardcover,160,2022,1983,2023/12/19,2023/07/22,,,read,,,,1,0
34043787,The Life-Changing Manga of Tidying Up,Marie Kondō,"Kondō, Marie",Yuko Uramoto,"=""0399580549""","=""9780399580543""",5,4.10,Ten Speed Graphic,Kindle Edition,196,2017,2017,2023/12/19,2023/07/25,,,read,,,,1,0
43426498,"Wotakoi: Love is Hard for Otaku, Vol. 4",Fujita,"Fujita, Fujita",,"=""1632368617""","=""9781632368614""",5,4.61,Kodansha Comics,Paperback,256,2020,2020,2023/12/19,2023/09/18,,,read,,,,1,0
57378184,"악역의 엔딩은 죽음뿐 1 (Villains are Destined to Die, Vol. 1)",Gyeoeul Gwon,"Gwon, Gyeoeul","권겨을, SUOL, 수월","=""""","=""9791191363531""",5,4.49,DNC WEBTOON BIZ,Paperback,260,2021,2021,2023/12/19,2023/09/18,,,read,,,,1,0
